label,spatial_coverage_rate,capacity_fulfillment_rate,effective_service_rate,served_weighted_satisfaction,served_elderly_proxy_rate,min_community_fulfillment_rate,total_daily_demand,served_daily_demand,unserved_daily_demand,total_effective_daily_demand,total_capacity,total_build_cost_wan,station_count,max_utilization,annual_profit_without_subsidy,locations,scales
enumerated_best,1.0,0.8363633575664415,0.7319380875244184,0.8751436572426267,0.836794421539553,0.8,8369.568007340535,7000.000000000001,1369.5680073405338,6126.005600698388,7000.0,117.0,5,1.0,3184770.954781649,"C,E,G,I,J","小型,小型,小型,小型,大型"
current_CDG,1.0,0.8363633575664415,0.7217518061604464,0.8629644037258171,0.8353360172663113,0.8,8369.568007340535,7000.000000000001,1369.5680073405338,6040.75082608072,7000.0,108.0,3,1.0,3774057.313433842,"C,D,G","小型,大型,大型"
online_BDFJ,1.0,0.8363633575664414,0.7181040102233173,0.8586029071297165,0.8368012103101584,0.8,8369.568007340535,7000.0,1369.5680073405347,6010.220349908016,7000.0,113.0,4,1.0,3478699.9956564764,"B,D,F,J","大型,小型,中型,小型"
