label,spatial_coverage_rate,capacity_fulfillment_rate,effective_service_rate,served_weighted_satisfaction,served_elderly_proxy_rate,min_community_fulfillment_rate,total_daily_demand,served_daily_demand,unserved_daily_demand,total_effective_daily_demand,total_capacity,total_build_cost_wan,station_count,max_utilization,annual_profit_without_subsidy,locations,scales
enumerated_best,1.0,0.849857736874859,0.743884899848211,0.8753052041200016,0.8504222878833103,0.8,8236.672676230217,7000.0,1236.672676230217,6127.136428840011,7000.0,117.0,5,1.0,2251857.0707941595,"C,E,G,I,J","小型,小型,小型,小型,大型"
current_CDG,1.0,0.849857736874859,0.7335591772952866,0.8631552617180007,0.8489849725211609,0.7999999999999999,8236.672676230217,7000.0,1236.672676230217,6042.086832026005,7000.0,108.0,3,1.0,2957993.0192332463,"C,D,G","小型,大型,大型"
online_BDFJ,1.0,0.849857736874859,0.7299901992029406,0.8589557610986734,0.8509467005836818,0.8,8236.672676230217,7000.0,1236.672676230217,6012.690327690714,7000.0,113.0,4,1.0,2603951.9752067346,"B,D,F,J","大型,小型,中型,小型"
