label,spatial_coverage_rate,capacity_fulfillment_rate,effective_service_rate,served_weighted_satisfaction,served_elderly_proxy_rate,min_community_fulfillment_rate,total_daily_demand,served_daily_demand,unserved_daily_demand,total_effective_daily_demand,total_capacity,total_build_cost_wan,station_count,max_utilization,annual_profit_without_subsidy,locations,scales
enumerated_best,1.0,0.8175484377091475,0.7152645384803937,0.8748894933792994,0.8175226005106988,0.8,8562.183813370986,7000.000000000001,1562.1838133709853,6124.2264536550965,7000.0,117.0,5,1.0,3141531.9444696936,"C,E,G,I,J","小型,小型,小型,小型,大型"
current_CDG,1.0,0.8175484377091475,0.7051030367608097,0.862460258301733,0.8169604284185412,0.8,8562.183813370986,7000.000000000001,1562.1838133709853,6037.221808112132,7000.0,108.0,3,1.0,3730315.2624517353,"C,D,G","小型,大型,大型"
online_BDFJ,1.0,0.8175484377091474,0.7011968619913848,0.8576823459613092,0.8177101262871697,0.8,8562.183813370986,7000.0,1562.1838133709862,6003.776421729164,7000.0,113.0,4,1.0,3435207.973199821,"B,D,F,J","大型,小型,中型,小型"
